ds,y,y_next,vol_realizada,posicion_cruda,pos,ventana,seed
2026-04-27,0.0011159344459348,0.001119144106129,0.0079988145398594,-0.10352936,-0.12230068840827583,4,123
2026-04-28,0.001119144106129,0.001122183326016,0.0076785663253018,-0.23658654,-0.29113935176917355,4,123
2026-04-29,0.001122183326016,0.0011056199015901,0.0076597058774494,0.05235038,0.0645801039737224,4,123
2026-04-30,0.0011056199015901,0.0011105312031884,0.0078996388132854,0.056071155,0.06706922273436088,4,123
2026-05-01,0.0011105312031884,0.0011120378092855,0.0078609958118007,-0.12281502,-0.1476267018405414,4,123
2026-05-04,0.0011120378092855,0.0010968280087457,0.0078043801653295,-0.06160479,-0.07458767269521685,4,123
2026-05-05,0.0010968280087457,0.0011051921839761,0.0084498331002461,0.01818603,0.020336715461132478,4,123
2026-05-06,0.0011051921839761,0.001115921980816,0.008605175919706,0.3255582,0.3574866992279126,4,123
2026-05-07,0.001115921980816,0.0011230024963226,0.0074645456642553,0.10066325,0.12742615461695497,4,123
2026-05-08,0.0011230024963226,0.0011208500618814,0.007466864728016,-0.13141246,-0.16629886600291235,4,123
2026-05-11,0.0011208500618814,0.0011145538804896,0.0074438232302399,0.44103846,0.5598496356664674,4,123
2026-05-12,0.0011145538804896,0.0010953382140866,0.0075542287704477,-0.04257573,-0.05325531670696708,4,123
2026-05-13,0.0010953382140866,0.0011278789171316,0.0081056626431728,0.44259527,0.5159519348746059,4,123
2026-05-14,0.0011278789171316,0.0011181930153749,0.0106308377345395,-0.5671003,-0.5040613214858801,4,123
2026-05-15,0.0011181930153749,0.0011139206908048,0.0107993104460822,0.14387582,0.12588755446578098,4,123
2026-05-18,0.0011139206908048,0.0011104941699056,0.0107824382035235,0.17710252,0.15520251708601548,4,123
2026-05-19,0.0011104941699056,0.0011049357122181,0.0104954016730229,0.17492057,0.1574826965199265,4,123
2026-05-20,0.0011049357122181,0.0011139206908048,0.0102204557330624,-0.24425057,-0.22581683405556627,4,123
2026-05-21,0.0011139206908048,0.001113164247507,0.0103891119403944,-0.19838509,-0.1804353398169884,4,123
2026-05-22,0.001113164247507,0.0011152872361556,0.010326368542208,-0.06857128,-0.06274594096712914,4,123
2026-05-25,0.0011152872361556,0.0011151877145301,0.0103294004546029,0.035978206,0.03291208546140486,4,123
2026-05-26,0.0011151877145301,0.0011187809548574,0.0103068260777756,0.4152876,0.38072819975214084,4,123
2026-05-27,0.0011187809548574,0.0011185306614213,0.0103148905361131,0.1983926,0.18174055505929806,4,123
2026-05-28,0.0011185306614213,0.0011223722828849,0.0097175828560068,0.19164728,0.18635258019349335,4,123
2026-05-29,0.0011223722828849,0.0011241007502741,0.0096992190643533,0.18910836,0.1842319540728388,4,123
2026-06-01,0.0011241007502741,0.0011211516439029,0.0097001255226434,-0.16115923,-0.1569888606762024,4,123
2026-06-02,0.0011211516439029,0.0011238480711607,0.0091385814221723,-0.1687961,-0.1745318377102623,4,123
2026-06-03,0.0011238480711607,0.0011173683465724,0.0090171261421727,0.54700935,0.573215070886868,4,123
2026-06-04,0.0011173683465724,0.0011165324905911,0.0088819034184752,0.25859416,0.2751082708023543,4,123
2026-06-05,0.0011165324905911,0.0010937807509007,0.0087594930002971,0.090100035,0.09719344966865297,4,123
2026-06-08,0.0010937807509007,0.0010835175513773,0.0098670135996382,0.48662075,0.466010710180279,4,123
2026-06-09,0.0010835175513773,0.001091190825259,0.0099919731864604,0.31397513,0.29691695094790993,4,123
2026-06-10,0.001091190825259,0.0010926812299253,0.0094129301767103,-0.06128616,-0.06152173332495579,4,123
2026-06-11,0.0010926812299253,0.0011037283707233,0.0064019920655564,-0.20354375,-0.30042333319016135,4,123
2026-06-12,0.0011037283707233,0.0011122109822959,0.0066779681363526,-0.34474057,-0.48779691265155534,4,123
2026-06-15,0.0011122109822959,0.0011236334178893,0.0068810531261362,0.093852594,0.1288790653718187,4,123
2026-06-16,0.0011236334178893,0.0011296116270571,0.007210146232362,-0.1735637,-0.22746042049391682,4,123
2026-06-17,0.0011296116270571,0.0011282225165504,0.0071570417536358,-0.22259992,-0.2938884094606431,4,123
