exp,par,N,h,estrategia,spread_ida_vuelta_%,sharpe,retorno_total_%
multidia,clp_h5,7,1,PPO seed=42,0.1,0.17062636055482694,1.6355917196898107
multidia,clp_h5,7,1,PPO seed=42,0.15,-0.179427137242136,-5.471319980389689
multidia,clp_h5,7,1,PPO seed=42,0.2,-0.5288721375349351,-12.094077208641462
multidia,clp_h5,7,1,PPO seed=42,0.3,-1.2244739963769844,-24.01349520700834
multidia,clp_h5,7,1,Umbral cobre,0.0,2.176203315860627,46.68080938982002
multidia,clp_h5,7,1,Umbral cobre,0.02,2.008573202642183,42.319562211546
multidia,clp_h5,7,1,Umbral cobre,0.05,1.7576816778312319,36.01351334729623
multidia,clp_h5,7,1,Umbral cobre,0.1,1.341141195553074,26.10308227783107
multidia,clp_h5,7,1,Umbral cobre,0.15,0.9268308157382987,16.897158796479573
multidia,clp_h5,7,1,Umbral cobre,0.2,0.5149906911402516,8.346914343760758
multidia,clp_h5,7,1,Umbral cobre,0.3,-0.3003653366766515,-6.965582140147875
multidia,clp_h5,7,2,PPO seed=42,0.0,1.0534641829348703,20.741455973025435
multidia,clp_h5,7,2,PPO seed=42,0.02,0.8982117724912475,17.13957602277054
multidia,clp_h5,7,2,PPO seed=42,0.05,0.6650480485853832,11.932175504890141
multidia,clp_h5,7,2,PPO seed=42,0.1,0.275801904377599,3.7500059792535234
multidia,clp_h5,7,2,PPO seed=42,0.15,-0.11404696304359585,-3.8485818181186016
multidia,clp_h5,7,2,PPO seed=42,0.2,-0.5042692354714498,-10.90417303846115
multidia,clp_h5,7,2,PPO seed=42,0.3,-1.2849105882808907,-23.535136872297755
multidia,clp_h5,7,2,Umbral cobre,0.0,1.651223742269854,32.860475769317766
multidia,clp_h5,7,2,Umbral cobre,0.02,1.4824136828493686,28.901415186452173
multidia,clp_h5,7,2,Umbral cobre,0.05,1.229659745677611,23.177372633812343
multidia,clp_h5,7,2,Umbral cobre,0.1,0.8097771872682062,14.182798769662309
multidia,clp_h5,7,2,Umbral cobre,0.15,0.3918417700758725,5.829019728549212
multidia,clp_h5,7,2,Umbral cobre,0.2,-0.02388870187205034,-1.9284746014422427
multidia,clp_h5,7,2,Umbral cobre,0.3,-0.8477471006750834,-15.817786598831752
multidia,clp_h5,7,4,PPO seed=42,0.0,0.8664699127227526,16.55669320336457
multidia,clp_h5,7,4,PPO seed=42,0.02,0.7123841518357285,13.0764443414781
multidia,clp_h5,7,4,PPO seed=42,0.05,0.48101002494740636,8.045064458132067
multidia,clp_h5,7,4,PPO seed=42,0.1,0.09484977560807661,0.1399039608940944
multidia,clp_h5,7,4,PPO seed=42,0.15,-0.291788371457895,-7.200922606585724
multidia,clp_h5,7,4,PPO seed=42,0.2,-0.6786803235354277,-14.016697272604361
multidia,clp_h5,7,4,PPO seed=42,0.3,-1.4523250085500032,-26.217073518313562
multidia,clp_h5,7,4,Umbral cobre,0.0,1.744447100269539,35.85558859844613
multidia,clp_h5,7,4,Umbral cobre,0.02,1.578390149459345,31.8084605409926
multidia,clp_h5,7,4,Umbral cobre,0.05,1.329887108304841,25.957022379484584
multidia,clp_h5,7,4,Umbral cobre,0.1,0.9173997156293037,16.762095294673763
multidia,clp_h5,7,4,Umbral cobre,0.15,0.5072256990623766,8.222040670768038
multidia,clp_h5,7,4,Umbral cobre,0.2,0.09959706796002765,0.29138481388635284
multidia,clp_h5,7,4,Umbral cobre,0.3,-0.7071427976483166,-13.908445543893178
tpadapt,clp_h3,3,0,PPO seed=7,0.0,-0.11400000057101654,-8.422031539952958
tpadapt,clp_h3,3,0,PPO seed=7,0.02,-0.33717018313722225,-15.229078248526196
tpadapt,clp_h3,3,0,PPO seed=7,0.05,-0.6711063484902936,-24.51172439417907
tpadapt,clp_h3,3,0,PPO seed=7,0.1,-1.22533320066703,-37.799084535407566
tpadapt,clp_h3,3,0,PPO seed=7,0.15,-1.7764068319892352,-48.76790855367524
tpadapt,clp_h3,3,0,PPO seed=7,0.2,-2.3240629870580944,-57.81921176034391
tpadapt,clp_h3,3,0,PPO seed=7,0.3,-3.408116128737056,-71.44127538685726
tpadapt,clp_h3,3,0,Umbral cobre,0.0,0.6803794398205059,20.9400423940167
tpadapt,clp_h3,3,0,Umbral cobre,0.02,0.474348716082407,12.405903535368035
tpadapt,clp_h3,3,0,Umbral cobre,0.05,0.16527398248610956,0.7092179230136164
tpadapt,clp_h3,3,0,Umbral cobre,0.1,-0.3496502967282255,-16.168619976913988
tpadapt,clp_h3,3,0,Umbral cobre,0.15,-0.8638759329015455,-30.243994968994226
tpadapt,clp_h3,3,0,Umbral cobre,0.2,-1.3768893135778937,-41.97789501803103
tpadapt,clp_h3,3,0,Umbral cobre,0.3,-2.3972593169906076,-59.901778150942256
