ds,copper,tasa_chile,tasa_us
2010-03-16,3.3570001125335693,0.5,0.2
2010-03-17,3.4100000858306885,0.5,0.18
2010-03-18,3.387500047683716,0.5,0.18
2010-03-19,3.364500045776367,0.5,0.18
2010-03-20,3.364500045776367,0.5,0.18
2010-03-21,3.364500045776367,0.5,0.18
2010-03-22,3.372499942779541,0.5,0.18
2010-03-23,3.369499921798706,0.5,0.17
2010-03-24,3.3364999294281006,0.5,0.17
2010-03-25,3.371000051498413,0.5,0.17
2010-03-26,3.3929998874664307,0.5,0.17
2010-03-27,3.3929998874664307,0.5,0.17
2010-03-28,3.3929998874664307,0.5,0.17
2010-03-29,3.5295000076293945,0.5,0.16
2010-03-30,3.555000066757202,0.5,0.16
2010-03-31,3.5460000038146973,0.5,0.09
2010-04-01,3.5769999027252197,0.5,0.17
2010-04-02,3.5769999027252197,0.5,0.2
2010-04-03,3.5769999027252197,0.5,0.2
2010-04-04,3.5769999027252197,0.5,0.2
2010-04-05,3.625999927520752,0.5,0.2
2010-04-06,3.609499931335449,0.5,0.2
2010-04-07,3.5920000076293945,0.5,0.19
2010-04-08,3.5810000896453857,0.5,0.19
2010-04-09,3.5845000743865967,0.5,0.19
2010-04-10,3.5845000743865967,0.5,0.19
2010-04-11,3.5845000743865967,0.5,0.19
2010-04-12,3.559499979019165,0.5,0.19
2010-04-13,3.5954999923706055,0.5,0.2
2010-04-14,3.6054999828338623,0.5,0.2
2010-04-15,3.5964999198913574,0.5,0.22
2010-04-16,3.5114998817443848,0.5,0.21
2010-04-17,3.5114998817443848,0.5,0.21
2010-04-18,3.5114998817443848,0.5,0.21
2010-04-19,3.494499921798706,0.5,0.2
2010-04-20,3.51200008392334,0.5,0.2
2010-04-21,3.5329999923706055,0.5,0.2
2010-04-22,3.484499931335449,0.5,0.2
2010-04-23,3.5114998817443848,0.5,0.2
2010-04-24,3.5114998817443848,0.5,0.2
2010-04-25,3.5114998817443848,0.5,0.2
2010-04-26,3.5269999504089355,0.5,0.2
2010-04-27,3.3635001182556152,0.5,0.2
2010-04-28,3.367500066757202,0.5,0.2
2010-04-29,3.3334999084472656,0.5,0.19
2010-04-30,3.3375000953674316,0.5,0.2
2010-05-01,3.3375000953674316,0.5,0.2
2010-05-02,3.3375000953674316,0.5,0.2
2010-05-03,3.2785000801086426,0.5,0.2
2010-05-04,3.1644999980926514,0.5,0.21
2010-05-05,3.138000011444092,0.5,0.21
2010-05-06,3.1034998893737793,0.5,0.2
2010-05-07,3.13100004196167,0.5,0.2
2010-05-08,3.13100004196167,0.5,0.2
2010-05-09,3.13100004196167,0.5,0.2
2010-05-10,3.2149999141693115,0.5,0.2
2010-05-11,3.194000005722046,0.5,0.2
2010-05-12,3.1760001182556152,0.5,0.2
2010-05-13,3.2195000648498535,0.5,0.2
2010-05-14,3.122999906539917,0.5,0.2
2010-05-15,3.122999906539917,0.5,0.2
2010-05-16,3.122999906539917,0.5,0.2
2010-05-17,2.9230000972747803,0.5,0.21
2010-05-18,3.0225000381469727,0.5,0.21
2010-05-19,2.950000047683716,0.5,0.2
2010-05-20,2.935499906539917,0.5,0.2
2010-05-21,3.051500082015991,0.5,0.2
2010-05-22,3.051500082015991,0.5,0.2
2010-05-23,3.051500082015991,0.5,0.2
2010-05-24,3.1364998817443848,0.5,0.21
2010-05-25,3.0334999561309814,0.5,0.21
2010-05-26,3.071500062942505,0.5,0.2
2010-05-27,3.1514999866485596,0.5,0.2
2010-05-28,3.0969998836517334,0.5,0.19
2010-05-29,3.0969998836517334,0.5,0.19
2010-05-30,3.0969998836517334,0.5,0.19
2010-05-31,3.0969998836517334,0.5,0.19
2010-06-01,3.053999900817871,1.44,0.2
2010-06-02,3.0320000648498535,1.44,0.2
2010-06-03,2.938499927520752,1.44,0.19
2010-06-04,2.8125,1.44,0.19
2010-06-05,2.8125,1.44,0.19
2010-06-06,2.8125,1.44,0.19
2010-06-07,2.759000062942505,1.44,0.19
2010-06-08,2.7725000381469727,1.44,0.19
2010-06-09,2.8424999713897705,1.44,0.18
2010-06-10,2.8554999828338623,1.44,0.18
2010-06-11,2.8994998931884766,1.44,0.18
2010-06-12,2.8994998931884766,1.44,0.18
2010-06-13,2.8994998931884766,1.44,0.18
2010-06-14,2.990000009536743,1.44,0.18
2010-06-15,3.002500057220459,1.44,0.19
2010-06-16,2.99399995803833,1.44,0.19
2010-06-17,2.9024999141693115,1.44,0.19
2010-06-18,2.88100004196167,1.44,0.18
2010-06-19,2.88100004196167,1.44,0.18
2010-06-20,2.88100004196167,1.44,0.18
2010-06-21,2.938999891281128,1.44,0.17
2010-06-22,2.990499973297119,1.44,0.18
2010-06-23,2.934000015258789,1.44,0.17
2010-06-24,3.003000020980835,1.44,0.16
2010-06-25,3.0929999351501465,1.44,0.16
2010-06-26,3.0929999351501465,1.44,0.16
2010-06-27,3.0929999351501465,1.44,0.16
2010-06-28,3.06850004196167,1.44,0.17
2010-06-29,2.9154999256134033,1.44,0.15
2010-06-30,2.936000108718872,1.44,0.09
2010-07-01,2.865000009536743,1.85,0.17
2010-07-02,2.9040000438690186,1.85,0.18
2010-07-03,2.9040000438690186,1.85,0.18
2010-07-04,2.9040000438690186,1.85,0.18
2010-07-05,2.9040000438690186,1.85,0.18
2010-07-06,2.9600000381469727,1.85,0.18
2010-07-07,3.005500078201294,1.85,0.18
2010-07-08,3.006999969482422,1.85,0.17
2010-07-09,3.0445001125335693,1.85,0.18
2010-07-10,3.0445001125335693,1.85,0.18
2010-07-11,3.0445001125335693,1.85,0.18
2010-07-12,2.999500036239624,1.85,0.17
2010-07-13,3.009500026702881,1.85,0.17
2010-07-14,3.000999927520752,1.85,0.17
2010-07-15,3.005000114440918,1.85,0.19
2010-07-16,2.9235000610351562,1.85,0.19
2010-07-17,2.9235000610351562,1.85,0.19
2010-07-18,2.9235000610351562,1.85,0.19
2010-07-19,2.932499885559082,1.85,0.19
2010-07-20,2.997499942779541,1.85,0.18
2010-07-21,3.0869998931884766,1.85,0.18
2010-07-22,3.1605000495910645,1.85,0.18
2010-07-23,3.184999942779541,1.85,0.19
2010-07-24,3.184999942779541,1.85,0.19
2010-07-25,3.184999942779541,1.85,0.19
2010-07-26,3.2249999046325684,1.85,0.19
2010-07-27,3.2049999237060547,1.85,0.19
2010-07-28,3.240000009536743,1.85,0.2
2010-07-29,3.2855000495910645,1.85,0.19
2010-07-30,3.306999921798706,1.85,0.18
2010-07-31,3.306999921798706,1.85,0.18
2010-08-01,3.306999921798706,2.47,0.18
2010-08-02,3.384999990463257,2.47,0.19
2010-08-03,3.3550000190734863,2.47,0.19
2010-08-04,3.4005000591278076,2.47,0.19
2010-08-05,3.3505001068115234,2.47,0.19
2010-08-06,3.3394999504089355,2.47,0.18
2010-08-07,3.3394999504089355,2.47,0.18
2010-08-08,3.3394999504089355,2.47,0.18
2010-08-09,3.3505001068115234,2.47,0.18
2010-08-10,3.311000108718872,2.47,0.18
2010-08-11,3.252500057220459,2.47,0.17
2010-08-12,3.2825000286102295,2.47,0.18
